disp_um,F_uniform_uN,F_ccs_uN
9.230769230769230171e-01,1.135923321591306490e+00,1.643770846047061696e+00
9.311036789297657545e-01,1.102998007922025181e+00,1.604810342242586785e+00
9.391304347826086030e-01,1.070072694252715451e+00,1.565134751030370808e+00
9.471571906354514514e-01,1.037147380583363088e+00,1.524432648895810871e+00
9.551839464882941888e-01,1.004222066914081779e+00,1.480103119079700491e+00
9.632107023411370372e-01,9.712967532447862595e-01,1.432186601924655633e+00
9.712374581939798857e-01,9.383714395754765292e-01,1.383637903554301829e+00
9.792642140468226231e-01,9.054461259061667988e-01,1.335089205184033290e+00
9.872909698996654715e-01,8.725208122367433816e-01,1.286540506813651064e+00
9.953177257525082089e-01,8.395954985674620730e-01,1.237991808443354103e+00
1.003344481605351168e+00,8.066701848981807643e-01,1.189443110073000298e+00
1.011371237458193795e+00,7.737448712292547270e-01,1.140894411702703337e+00
1.019397993311036643e+00,7.408195575595897253e-01,1.092345713332377954e+00
1.027424749163879492e+00,7.078942438898678802e-01,1.043797014962080993e+00
1.035451505016722340e+00,6.749689302208992103e-01,9.952483165916987673e-01
1.043478260869565188e+00,6.420436165516179017e-01,9.466996182213449629e-01
1.051505016722407815e+00,6.091183028823508039e-01,8.981509198511332670e-01
1.059531772575250663e+00,5.761929892129842301e-01,8.496022214806941975e-01
1.067558528428093512e+00,5.432676755436602889e-01,8.010535231103972365e-01
1.075585284280936360e+00,5.103423618743647694e-01,7.525048247401002754e-01
1.083612040133779209e+00,4.774170482050550390e-01,7.039561263697464710e-01
1.091638795986622057e+00,4.444917345357310978e-01,6.554074279994210883e-01
1.099665551839464683e+00,4.115664208664640000e-01,6.068587296290672839e-01
1.107692307692307532e+00,3.786411071971258480e-01,5.583100312587419012e-01
1.115719063545150380e+00,3.457157935277876959e-01,5.097613328884449402e-01
1.123745819397993229e+00,3.127904798584637547e-01,4.612126345181195575e-01
1.131772575250836077e+00,2.798651661891540243e-01,4.126639361477941748e-01
1.139799331103678703e+00,2.469398525198727157e-01,3.641152377774403703e-01
1.147826086956521552e+00,2.140145388506056179e-01,3.155665394071149876e-01
1.155852842809364400e+00,1.810892251812248332e-01,2.670178410368180266e-01
1.163879598662207249e+00,1.481639115118582595e-01,2.184691426664642222e-01
1.171906354515050097e+00,1.152385978426053725e-01,1.699204442961672612e-01
1.179933110367892946e+00,8.231328417325300961e-02,1.213717459258134568e-01
1.187959866220735572e+00,4.938797050398591182e-02,7.282304755548807407e-02
1.195986622073578420e+00,1.646265683467618146e-02,2.427434918513426965e-02
1.204013377926421269e+00,-1.646265683464775975e-02,-2.427434918516269136e-02
1.212040133779264117e+00,-4.938797050400012267e-02,-7.282304755545965236e-02
1.220066889632106966e+00,-8.231328417329564218e-02,-1.213717459258134568e-01
1.228093645484949814e+00,-1.152385978426053725e-01,-1.699204442961956829e-01
1.236120401337792440e+00,-1.481639115118866812e-01,-2.184691426664073788e-01
1.244147157190635289e+00,-1.810892251812106224e-01,-2.670178410368180266e-01
1.252173913043478137e+00,-2.140145388505487745e-01,-3.155665394070865659e-01
1.260200668896320986e+00,-2.469398525198585048e-01,-3.641152377774119486e-01
1.268227424749163834e+00,-2.798651661891824460e-01,-4.126639361478510182e-01
1.276254180602006461e+00,-3.127904798584069113e-01,-4.612126345181195575e-01
1.284280936454849309e+00,-3.457157935277876959e-01,-5.097613328884449402e-01
1.292307692307692157e+00,-3.786411071971542697e-01,-5.583100312587419012e-01
1.300334448160535006e+00,-4.115664208664213675e-01,-6.068587296291241273e-01
1.308361204013377854e+00,-4.444917345357453087e-01,-6.554074279994495100e-01
1.316387959866220703e+00,-4.774170482050692499e-01,-7.039561263697748927e-01
1.324414715719063329e+00,-5.103423618743363477e-01,-7.525048247400718537e-01
1.332441471571906177e+00,-5.432676755436887106e-01,-8.010535231103972365e-01
1.340468227424749026e+00,-5.761929892130126518e-01,-8.496022214807226192e-01
1.348494983277591874e+00,-6.091183028822939605e-01,-8.981509198510480019e-01
1.356521739130434723e+00,-6.420436165516463234e-01,-9.466996182213733846e-01
1.364548494983277349e+00,-6.749689302209276320e-01,-9.952483165916703456e-01
1.372575250836120198e+00,-7.078942438902231515e-01,-1.043797014962080993e+00
1.380602006688963046e+00,-7.408195575595755145e-01,-1.092345713332434798e+00
1.388628762541805894e+00,-7.737448712288852448e-01,-1.140894411702646494e+00
1.396655518394648743e+00,-8.066701848981807643e-01,-1.189443110073028720e+00
1.404682274247491591e+00,-8.395954985675331272e-01,-1.237991808443439368e+00
1.412709030100334218e+00,-8.725208122367860142e-01,-1.286540506813651064e+00
1.420735785953177066e+00,-9.054461259061241662e-01,-1.335089205184004868e+00
1.428762541806019915e+00,-9.383714395754623183e-01,-1.383637903554358672e+00
1.436789297658862763e+00,-9.712967532447720487e-01,-1.432186601924627212e+00
1.444816053511705611e+00,-1.004222066914081779e+00,-1.480103119079643648e+00
1.452842809364548238e+00,-1.037147380583348877e+00,-1.524432648895782449e+00
1.460869565217391086e+00,-1.070072694252687029e+00,-1.565134751030399229e+00
1.468896321070233935e+00,-1.102998007922025181e+00,-1.604810342242529941e+00
1.476923076923076783e+00,-1.135923321591349122e+00,-1.643770846047061696e+00
1.484949832775919631e+00,-1.168848635260644642e+00,-1.682001833560860860e+00
1.492976588628762480e+00,-1.201286648049219252e+00,-1.719489246977730090e+00
1.501003344481605106e+00,-1.230249012401927189e+00,-1.756219387627282913e+00
1.509030100334447955e+00,-1.255471025391685203e+00,-1.792178903683549152e+00
1.517056856187290803e+00,-1.279644829164737985e+00,-1.827354777600220359e+00
1.525083612040133652e+00,-1.303221219260848329e+00,-1.861734313348023306e+00
1.533110367892976500e+00,-1.326190300335696293e+00,-1.895305123522831536e+00
1.541137123745819348e+00,-1.348542393894476277e+00,-1.928055116387184853e+00
1.549163879598661975e+00,-1.370268030450276342e+00,-1.959972482903651780e+00
1.557190635451504823e+00,-1.391357941617485494e+00,-1.991045683812700418e+00
1.565217391304347672e+00,-1.411803052175216067e+00,-2.021263436802598790e+00
1.573244147157190520e+00,-1.431594472130015561e+00,-2.050614703815284656e+00
1.581270903010033368e+00,-1.450723488806218597e+00,-2.079088678523902445e+00
1.589297658862875995e+00,-1.469181558989845371e+00,-2.106674774017591290e+00
1.597324414715718843e+00,-1.486960301148442909e+00,-2.133362610722087993e+00
1.605351170568561692e+00,-1.504051487747602778e+00,-2.159142004580644425e+00
1.613377926421404540e+00,-1.520447037683084091e+00,-2.184002955517854616e+00
1.621404682274247389e+00,-1.536139008843818488e+00,-2.207935636202563501e+00
1.629431438127090237e+00,-1.551119590820817962e+00,-2.230930381126938755e+00
1.637458193979932863e+00,-1.565381097773496322e+00,-2.252977676010942787e+00
1.645484949832775712e+00,-1.578915961464204543e+00,-2.274068147542720908e+00
1.653511705685618560e+00,-1.591716724469577571e+00,-2.294192553460490558e+00
1.661538461538461409e+00,-1.603776033575684323e+00,-2.313341772980606947e+00
1.669565217391304257e+00,-1.615086633363333135e+00,-2.331506797574618872e+00
1.677591973244146883e+00,-1.625641359986843781e+00,-2.348678722093694660e+00
1.685618729096989732e+00,-1.635433135150478279e+00,-2.364848736241526694e+00
1.693645484949832580e+00,-1.644454960284278400e+00,-2.380008116392133388e+00
1.701672240802675429e+00,-1.652699910920020443e+00,-2.394148217748210072e+00
1.709698996655518277e+00,-1.660161131268026224e+00,-2.407260466836092405e+00
1.717725752508361126e+00,-1.666831828994020270e+00,-2.419336354331150574e+00
1.725752508361203752e+00,-1.672705270194555283e+00,-2.430367428206395175e+00
1.733779264214046600e+00,-1.677774774569655847e+00,-2.440345287198667279e+00
1.741806020066889449e+00,-1.682033710789013981e+00,-2.449261574582706658e+00
1.749832775919732297e+00,-1.685475492049960167e+00,-2.457107972246134864e+00
1.757859531772575146e+00,-1.688093571823358729e+00,-2.463876195056698748e+00
1.765886287625417772e+00,-1.689881439783619044e+00,-2.469557985512381038e+00
1.773913043478260620e+00,-1.690832617918630376e+00,-2.474145108666306214e+00
1.781939799331103469e+00,-1.690940656815598686e+00,-2.477629347316110398e+00
1.789966555183946317e+00,-1.690199132118664238e+00,-2.480002497450072951e+00
1.797993311036789166e+00,-1.688601641152530419e+00,-2.481256363939834841e+00
1.806020066889632014e+00,-1.686141799708579470e+00,-2.481382756470949857e+00
1.814046822742474641e+00,-1.682813238987833415e+00,-2.480373485702131120e+00
1.822073578595317489e+00,-1.678609602696255365e+00,-2.478220359644751625e+00
1.830100334448160337e+00,-1.673524544287175786e+00,-2.474915180252907021e+00
1.838127090301003186e+00,-1.667551724346211017e+00,-2.470449740216452028e+00
1.846153846153846034e+00,-1.660684808113515487e+00,-2.464815819948128706e+00
1.854180602006688661e+00,-1.652917463138692256e+00,-2.458005184756288486e+00
1.862207357859531509e+00,-1.644243357063274402e+00,-2.450009582196017277e+00
1.870234113712374358e+00,-1.634656155526144516e+00,-2.440820739589739219e+00
