["port 1","LEFT"]
["port 2","TOP"]
["port 3","RIGHT"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9486509770000000e+014 2.0552761335969438e-003 3.9104653287142210e+000
1.9499001122416666e+014 1.8257861578596121e-003 3.9971685638270760e+000
1.9511492474833331e+014 1.5573713729185941e-003 4.0916136324981203e+000
1.9523983827250000e+014 1.2529762141599823e-003 4.1974126959452072e+000
1.9536475179666666e+014 9.1645785598582505e-004 4.3252522121887829e+000
1.9548966532083331e+014 5.5433747223954328e-004 4.5171554968193570e+000
1.9561457884500000e+014 2.0012251310901183e-004 5.1445531013345835e+000
1.9573949236916666e+014 3.1376823186795709e-004 7.0999414867393886e+000
1.9586440589333331e+014 7.2906657766579270e-004 7.4687055514056748e+000
1.9598931941750000e+014 1.1719920104892680e-003 7.6368029002265869e+000
1.9611423294166666e+014 1.6250452434920010e-003 7.7647531945946167e+000
1.9623914646583331e+014 2.0805988278688866e-003 7.8784909663794558e+000
1.9636405999000000e+014 2.5321584836178750e-003 7.9856528530737876e+000
1.9648897351416666e+014 2.9735311773882609e-003 8.0891500446180551e+000
1.9661388703833331e+014 3.3987996697693837e-003 8.1902175887884496e+000
1.9673880056250000e+014 3.8024710784869426e-003 8.2893693239990114e+000
1.9686371408666666e+014 4.1783071762091749e-003 8.3861130639471746e+000
1.9698862761083331e+014 4.5231002901963543e-003 8.4812772690929350e+000
1.9711354113500000e+014 4.8338462813311209e-003 8.5747170691797621e+000
1.9723845465916666e+014 5.1086512311729546e-003 8.6662666375225985e+000
1.9736336818333331e+014 5.3467759925439765e-003 8.7557767068747001e+000
1.9748828170750000e+014 5.5485930851705383e-003 8.8431464488225320e+000
1.9761319523166666e+014 5.7154464916086530e-003 8.9283516293762428e+000
1.9773810875583331e+014 5.8494138897574408e-003 9.0114683231295469e+000
1.9786302228000000e+014 5.9529828869660881e-003 9.0926897165005958e+000
1.9798793580416666e+014 6.0286671144867731e-003 9.1723325980632602e+000
1.9811284932833331e+014 6.0786024289200442e-003 9.2508302818473798e+000
1.9823776285250000e+014 6.1041743801909598e-003 9.3287101609601208e+000
1.9836267637666666e+014 6.1057314004034713e-003 9.4065566957406439e+000
1.9848758990083331e+014 6.0824308026662813e-003 9.4849637036570922e+000
1.9861250342500000e+014 6.0322465628471532e-003 9.5644822317325850e+000
1.9873741694916666e+014 5.9521426732483621e-003 9.6455710247067223e+000
1.9886233047333331e+014 5.8383900086725884e-003 9.7285552363650041e+000
1.9898724399750000e+014 5.6869846817497859e-003 9.8135959710286613e+000
1.9911215752166666e+014 5.4941158730631781e-003 9.9006694077715505e+000
1.9923707104583331e+014 5.2566315917982375e-003 9.9895504650918028e+000
1.9936198457000000e+014 4.9724593778004405e-003 1.0079792321440177e+001
1.9948689809416666e+014 4.6409521868477485e-003 1.0170688597508995e+001
1.9961181161833331e+014 4.2631450456033825e-003 1.0261196865382241e+001
1.9973672514250000e+014 3.8419253481129069e-003 1.0349784014263635e+001
1.9986163866666666e+014 3.3821432735915025e-003 1.0434109883165117e+001
("port 1","mode 1",1,"port 2",1,"transmission")
(101, 3)
1.8737028625000000e+014 9.1402154435633268e-004 1.1802325854222258e+000
1.8749519977416666e+014 1.0664238916115252e-003 1.5852044257221833e+000
1.8762011329833334e+014 1.2589317227345706e-003 1.9197849972565302e+000
1.8774502682250000e+014 1.4695980788027837e-003 2.2035841638139768e+000
1.8786994034666666e+014 1.6845353141147813e-003 2.4534383427066269e+000
1.8799485387083334e+014 1.8948941325478614e-003 2.6805511196648664e+000
1.8811976739500000e+014 2.0947386525128832e-003 2.8919563507544157e+000
1.8824468091916666e+014 2.2798983968382040e-003 3.0920660414552996e+000
1.8836959444333334e+014 2.4473783453098732e-003 3.2836907986338835e+000
1.8849450796750000e+014 2.5950512162363120e-003 3.4686519399764117e+000
1.8861942149166666e+014 2.7214890718490732e-003 3.6481445612582672e+000
1.8874433501583334e+014 2.8258631413465734e-003 3.8229563798100545e+000
1.8886924854000000e+014 2.9078760665085541e-003 3.9936031695613012e+000
1.8899416206416666e+014 2.9677081109885251e-003 4.1604152288688692e+000
1.8911907558833334e+014 3.0059676403727306e-003 4.3235945506529943e+000
1.8924398911250000e+014 3.0236408120108485e-003 4.4832541587423558e+000
1.8936890263666666e+014 3.0220380006162760e-003 4.6394464491126284e+000
1.8949381616083334e+014 3.0027360348049378e-003 4.7921846954024865e+000
1.8961872968500000e+014 2.9675163329522533e-003 4.9414602625693496e+000
1.8974364320916666e+014 2.9182997627005963e-003 5.0872570407919495e+000
1.8986855673333334e+014 2.8570796423375172e-003 5.2295639002902483e+000
1.8999347025750000e+014 2.7858548192458352e-003 5.3683854351524714e+000
1.9011838378166666e+014 2.7065652176354628e-003 5.5037508439770457e+000
1.9024329730583334e+014 2.6210326208771588e-003 5.6357204716101048e+000
1.9036821083000000e+014 2.5309096820357083e-003 5.7643893296984299e+000
1.9049312435416666e+014 2.4376401505596425e-003 5.8898868643640441e+000
1.9061803787833334e+014 2.3426043941624473e-003 6.0122755743523237e+000
1.9074295140250000e+014 2.2465760668564788e-003 6.1318310682400581e+000
1.9086786492666666e+014 2.1502839032233024e-003 6.2487395371599952e+000
1.9099277845083334e+014 2.0542398711242017e-003 6.3631777604596280e+000
1.9111769197500000e+014 1.9587749986131140e-003 6.4752943427345597e+000
1.9124260549916666e+014 1.8640851559716060e-003 6.5851907867534836e+000
1.9136751902333334e+014 1.7702820912305912e-003 6.6929042704816935e+000
1.9149243254750000e+014 1.6774445918080927e-003 6.7983938009775624e+000
1.9161734607166666e+014 1.5856648661672944e-003 6.9015310362281301e+000
1.9174225959583334e+014 1.4950860171179920e-003 7.0020966344815747e+000
1.9186717312000000e+014 1.4059276214264799e-003 7.0997826387847844e+000
1.9199208664416666e+014 1.3184977172802917e-003 7.1942012007354048e+000
1.9211700016833334e+014 1.2331907499011049e-003 7.2848998634844087e+000
1.9224191369250000e+014 1.1504721409072466e-003 7.3713835207238168e+000
1.9236682721666666e+014 1.0708511352571775e-003 7.4531428050536750e+000
1.9249174074083334e+014 9.9484453158755386e-004 7.5296877363389196e+000
1.9261665426500000e+014 9.2293494357740982e-004 7.6005837284026212e+000
1.9274156778916666e+014 8.5552844873614138e-004 7.6654845206946964e+000
1.9286648131333334e+014 7.9291776895323710e-004 7.7241538432405470e+000
1.9299139483750000e+014 7.3525812962154107e-004 7.7764660207989547e+000
1.9311630836166666e+014 6.8256300155759451e-004 7.8223773378626582e+000
1.9324122188583331e+014 6.3472527788663096e-004 7.8618667468663208e+000
1.9336613541000000e+014 5.9156562041648886e-004 7.8948568672250641e+000
1.9349104893416666e+014 5.5290398493604872e-004 7.9211422397671729e+000
1.9361596245833331e+014 5.1864366717173642e-004 7.9403674196163792e+000
1.9374087598250000e+014 4.8899185995535804e-004 7.9518653502575827e+000
1.9386578950666666e+014 4.6411208493854364e-004 7.9556279328128499e+000
1.9399070303083331e+014 4.4449917389783038e-004 7.9519712445207009e+000
1.9411561655500000e+014 4.3078026507081471e-004 7.9422508477064451e+000
1.9424053007916666e+014 4.2355180232661404e-004 7.9292164658721109e+000
1.9436544360333331e+014 4.2316446418542145e-004 7.9169497387715539e+000
1.9449035712750000e+014 4.2953023729018616e-004 7.9102240389602549e+000
1.9461527065166666e+014 4.4203460429159707e-004 7.9134901448901722e+000
1.9474018417583331e+014 4.5958788117849689e-004 7.9299831064489874e+000
1.9486509770000000e+014 4.8077757420435658e-004 7.9613433817108614e+000
1.9499001122416666e+014 5.0404819742239310e-004 8.0077695781288778e+000
1.9511492474833331e+014 5.2785172365935930e-004 8.0684532836730618e+000
1.9523983827250000e+014 5.5074850576814383e-004 8.1420389405943130e+000
1.9536475179666666e+014 5.7146416957161016e-004 8.2269760596652759e+000
1.9548966532083331e+014 5.8891630784062017e-004 8.3217410358089658e+000
1.9561457884500000e+014 6.0222312266092703e-004 8.4249568666780963e+000
1.9573949236916666e+014 6.1070181832677706e-004 8.5354484639310169e+000
1.9586440589333331e+014 6.1386095034223452e-004 8.6522638938807965e+000
1.9598931941750000e+014 6.1138880932889669e-004 8.7746819687434918e+000
1.9611423294166666e+014 6.0313898091342484e-004 8.9022191904192489e+000
1.9623914646583331e+014 5.8911405405892927e-004 9.0346449642254676e+000
1.9636405999000000e+014 5.6944876134862928e-004 9.1720129325792570e+000
1.9648897351416666e+014 5.4439450555930863e-004 9.3147181006022688e+000
1.9661388703833331e+014 5.1430831221376352e-004 9.4635947922383252e+000
1.9673880056250000e+014 4.7965104096855038e-004 9.6200813233366915e+000
1.9686371408666666e+014 4.4134469616013186e-004 9.7867738234868025e+000
1.9698862761083331e+014 3.9980482829965849e-004 9.9670950223229138e+000
1.9711354113500000e+014 3.5605351418418162e-004 1.0166829659036129e+001
1.9723845465916666e+014 3.1160617712385603e-004 1.0395148728994794e+001
1.9736336818333331e+014 2.6889686654488166e-004 1.0666229994001137e+001
1.9748828170750000e+014 2.3200877809445287e-004 1.0999301968634152e+001
1.9761319523166666e+014 2.0740303711902933e-004 1.1408977438432217e+001
1.9773810875583331e+014 2.0273086614751846e-004 1.1875463354817457e+001
1.9786302228000000e+014 2.2167303901128032e-004 1.2331312345331639e+001
1.9798793580416666e+014 2.6068111565144428e-004 1.2720375827236611e+001
1.9811284932833331e+014 3.1312746671300452e-004 1.3037048041594401e+001
1.9823776285250000e+014 3.7351766591069971e-004 1.3299397970665886e+001
1.9836267637666666e+014 4.3812634831636701e-004 1.3525242182314473e+001
1.9848758990083331e+014 5.0438302019416368e-004 1.3726856037013119e+001
1.9861250342500000e+014 5.7034050574328234e-004 1.3911970014137266e+001
1.9873741694916666e+014 6.3438173492057247e-004 1.4085355782914693e+001
1.9886233047333331e+014 6.9508228474464114e-004 1.4249936891937098e+001
1.9898724399750000e+014 7.5115894957552079e-004 1.4407463639954447e+001
1.9911215752166666e+014 8.0146561003616341e-004 1.4558910728994947e+001
1.9923707104583331e+014 8.4501623211270013e-004 1.4704711425186897e+001
1.9936198457000000e+014 8.8102423461506707e-004 1.4844896092524095e+001
1.9948689809416666e+014 9.0895208519348354e-004 1.4979174594058794e+001
1.9961181161833331e+014 9.2856717635457129e-004 1.5106986840409549e+001
1.9973672514250000e+014 9.4000078556024541e-004 1.5227538861299266e+001
1.9986163866666666e+014 9.4380643975180761e-004 1.5339840372798715e+001
("port 1","mode 1",1,"port 3",1,"transmission")
(101, 3)
1.8737028625000000e+014 9.8530890703048835e-001 2.9140359843142765e+000
1.8749519977416666e+014 9.8567636193372243e-001 3.0035940007977717e+000
1.8762011329833334e+014 9.8604371515311340e-001 3.0931719954798296e+000
1.8774502682250000e+014 9.8640545288763737e-001 3.1827700800952097e+000
1.8786994034666666e+014 9.8675676138206181e-001 3.2723866227365677e+000
1.8799485387083334e+014 9.8709396872240551e-001 3.3620186657294688e+000
1.8811976739500000e+014 9.8741482430017380e-001 3.4516624386101502e+000
1.8824468091916666e+014 9.8771860029323755e-001 3.5413139106806293e+000
1.8836959444333334e+014 9.8800601621286543e-001 3.6309693270658414e+000
1.8849450796750000e+014 9.8827900343517094e-001 3.7206256763299179e+000
1.8861942149166666e+014 9.8854034045394923e-001 3.8102810459747545e+000
1.8874433501583334e+014 9.8879320035332863e-001 3.8999348337497595e+000
1.8886924854000000e+014 9.8904065895553450e-001 3.9895877966772915e+000
1.8899416206416666e+014 9.8928521479439557e-001 4.0792419349185298e+000
1.8911907558833334e+014 9.8952837035779195e-001 4.1689002228691443e+000
1.8924398911250000e+014 9.8977031811750704e-001 4.2585662139524612e+000
1.8936890263666666e+014 9.9000976523241790e-001 4.3482435573123306e+000
1.8949381616083334e+014 9.9024391827375158e-001 4.4379354730052256e+000
1.8961872968500000e+014 9.9046863491939097e-001 4.5276442366368661e+000
1.8974364320916666e+014 9.9067873449416222e-001 4.6173707243116020e+000
1.8986855673333334e+014 9.9086844474221203e-001 4.7071140642857197e+000
1.8999347025750000e+014 9.9103194949811990e-001 4.7968714332506295e+000
1.9011838378166666e+014 9.9116399201407857e-001 4.8866380234485804e+000
1.9024329730583334e+014 9.9126048240614639e-001 4.9764071928193880e+000
1.9036821083000000e+014 9.9131905552569410e-001 5.0661707952005672e+000
1.9049312435416666e+014 9.9133952775642831e-001 5.1559196724069514e+000
1.9061803787833334e+014 9.9132171841287842e-001 5.2456437495465629e+000
1.9074295140250000e+014 9.9127296917067298e-001 5.3353343067597887e+000
1.9086786492666666e+014 9.9120076624797182e-001 5.4249831207047015e+000
1.9099277845083334e+014 9.9111487970075141e-001 5.5145837349725584e+000
1.9111769197500000e+014 9.9102688866486666e-001 5.6041320924152647e+000
1.9124260549916666e+014 9.9094953693801691e-001 5.6936270278106145e+000
1.9136751902333334e+014 9.9089596182626405e-001 5.7830705740421315e+000
1.9149243254750000e+014 9.9087885149358035e-001 5.8724680480776268e+000
1.9161734607166666e+014 9.9090959419380797e-001 5.9618278998111442e+000
1.9174225959583334e+014 9.9099748576998592e-001 6.0511613260349089e+000
1.9186717312000000e+014 9.9114905913891138e-001 6.1404816717696615e+000
1.9199208664416666e+014 9.9136759112949790e-001 6.2298036599968212e+000
1.9211700016833334e+014 9.9165282857753068e-001 6.3191425065535798e+000
1.9224191369250000e+014 9.9200095811154598e-001 6.4085129878557625e+000
1.9236682721666666e+014 9.9240482415870956e-001 6.4979285339468484e+000
1.9249174074083334e+014 9.9285437920312136e-001 6.5874004175517573e+000
1.9261665426500000e+014 9.9333733117004930e-001 6.6769371015049757e+000
1.9274156778916666e+014 9.9383993677796556e-001 6.7665437930186654e+000
1.9286648131333334e+014 9.9434787825792081e-001 6.8562222352378699e+000
1.9299139483750000e+014 9.9484715496986031e-001 6.9459707462607394e+000
1.9311630836166666e+014 9.9532492157019858e-001 7.0357844952636146e+000
1.9324122188583331e+014 9.9577021034896207e-001 7.1256559864457003e+000
1.9336613541000000e+014 9.9617448646827556e-001 7.2155757057861347e+000
1.9349104893416666e+014 9.9653199997001329e-001 7.3055328742597219e+000
1.9361596245833331e+014 9.9683991613980893e-001 7.3955162449021792e+000
1.9374087598250000e+014 9.9709778240800095e-001 7.4855145208761371e+000
1.9386578950666666e+014 9.9730861168116636e-001 7.5755183364092815e+000
1.9399070303083331e+014 9.9747696230886995e-001 7.6655193159198696e+000
1.9411561655500000e+014 9.9760888515028312e-001 7.7555110592143999e+000
1.9424053007916666e+014 9.9771127087368694e-001 7.8454893569182369e+000
1.9436544360333331e+014 9.9779118689024837e-001 7.9354522096895943e+000
1.9449035712750000e+014 9.9785526019285620e-001 8.0253996616674623e+000
1.9461527065166666e+014 9.9790915575309924e-001 8.1153334738727132e+000
1.9474018417583331e+014 9.9795718946539380e-001 8.2052566758306789e+000
1.9486509770000000e+014 9.9800210099236220e-001 8.2951730424583090e+000
1.9499001122416666e+014 9.9804499657843315e-001 8.3850865475538470e+000
1.9511492474833331e+014 9.9808545639296042e-001 8.4750008447774352e+000
1.9523983827250000e+014 9.9812178664494378e-001 8.5649188220194485e+000
1.9536475179666666e+014 9.9815138481651333e-001 8.6548422661751143e+000
1.9548966532083331e+014 9.9817117784368525e-001 8.7447716635803463e+000
1.9561457884500000e+014 9.9817808851655621e-001 8.8347061479510032e+000
1.9573949236916666e+014 9.9816948496278723e-001 8.9246435939104440e+000
1.9586440589333331e+014 9.9814357161809786e-001 9.0145808413241735e+000
1.9598931941750000e+014 9.9809968704571450e-001 9.1045140247290988e+000
1.9611423294166666e+014 9.9803848356410951e-001 9.1944389739381123e+000
1.9623914646583331e+014 9.9796197494625960e-001 9.2843516469094176e+000
1.9636405999000000e+014 9.9787345046508591e-001 9.3742485544085614e+000
1.9648897351416666e+014 9.9777726529366284e-001 9.4641271378141312e+000
1.9661388703833331e+014 9.9767852781394872e-001 9.5539860663568277e+000
1.9673880056250000e+014 9.9758271295460876e-001 9.6438254276815467e+000
